id,diff_size,touches_tests,touches_docs
3047109765,285,0,0
3087295315,3182,1,0
3177507819,165,0,0
3046919572,3,0,0
3161337304,79,1,0
2819000175,90,0,1
3238057382,52,0,0
3036715200,67,1,1
2870989734,324,1,0
3055789053,1,0,0
2962105442,4,1,0
2903765641,74,0,0
3240241128,1,0,1
2887687817,199,1,0
2992072550,46,1,0
2768257624,353,0,0
2996134520,10,0,0
2972343163,669,0,0
2913988951,196,1,0
3003452544,16,0,0
2792408591,12,0,0
3237827925,55,1,0
2926812000,12,0,0
3051560458,2475,1,0
2935908267,326,1,0
3119644558,15,0,0
3094071534,37,1,0
2982357826,891,0,1
3092416220,23,0,0
3119664015,1386,1,1
3234208868,2,0,1
3009753036,326,0,0
3160027064,4,0,0
2883334857,301,0,0
2793852587,1885,1,0
2978488079,201,1,0
2933172410,3537,1,0
3037650945,1507,1,0
2928053953,1459,1,1
2887966124,204,0,0
3085006980,73,1,0
3158433932,128,1,0
2985728809,228,0,1
2777349471,378,0,0
3040871845,56,0,1
3022206894,649,1,0
2951004653,45,0,0
2875895538,927,1,0
3174697157,154,0,0
2784700018,70,0,0
2914474920,6754,1,0
2859112713,148,0,0
3038225278,114,0,1
2895475720,32,0,0
3223746466,266,1,0
2763430169,492,1,0
2919292395,2030,1,1
2784488870,28,1,0
3051682279,4,0,0
2761443934,528,0,1
3136450775,1048,0,0
2930621426,106,1,0
3161731684,140,0,0
3127552216,115,1,0
3176926598,247,1,0
3035187237,4,0,0
2770944230,5554,0,1
2895053573,16,0,0
3123587172,30,0,0
3194210091,2989,1,1
2863193910,803,1,0
2879706478,60,0,0
2971118506,5791,1,1
3174571618,1227,0,0
3198091319,2,0,0
3247312407,64,1,1
2834747103,167,1,0
2869463251,3966,1,1
2961185813,4,0,1
3063489250,8,0,0
2844251494,14406,1,0
2812962777,2505,0,1
2920356295,7902,0,1
3052431463,156,0,0
3126092376,204,0,0
3221365376,3777,1,1
3032813632,3794,1,0
3229201739,129,0,1
3075728562,13,0,0
2849430289,193,1,0
3106192082,150,0,0
2962112930,38,1,0
2985600551,6,0,0
3032232141,214,0,1
3168164252,227,0,1
3035191266,359,0,1
2988982716,18,0,0
3087251875,353,1,0
2811914033,201,0,1
3085034494,11,0,0
3146354845,190,0,1
3088304216,2713,1,1
2792149320,14,0,0
2802753751,124,1,0
2922451912,243,0,0
3145058055,132,1,0
